make,address,all,num3d,our,over,remove,internet,order,mail,receive,will,people,report,addresses,free,business,email,you,credit,your,font,num000,money,hp,hpl,george,num650,lab,labs,telnet,num857,data,num415,num85,technology,num1999,parts,pm,direct,cs,meeting,original,project,re,edu,table,conference,charSemicolon,charRoundbracket,charSquarebracket,charExclamation,charDollar,charHash,capitalAve,capitalLong,capitalTotal,type,
11,-0.342396492,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,2.160712477,-0.262533024,-0.323267223,2.606549446,4.466384922,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,1.459654775,1.226653998,-0.167874867,0.125114799,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,2.558232009,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.514250655,-0.155180808,0.236527959,-0.30832143,-0.103037206,-0.122268595,-0.236915585,-0.432572301,1
12,-0.342396492,-0.165053972,-0.06080891,-0.046894487,0.100781091,0.562766822,0.346903099,-0.262533024,-0.323267223,-0.371324027,0.298574259,-0.489384417,0.086602388,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,-0.282796402,-0.167874867,-0.033111756,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.068076425,-0.351501902,-0.155180808,0.482950652,-0.30832143,-0.103037206,-0.124443231,-0.211260259,-0.16374971,1
13,-0.342396492,0.369591358,0.117711908,-0.046894487,0.041302666,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,0.172099871,-0.312021293,-0.174908156,-0.190093744,0.110381254,-0.321100514,2.269260964,0.241005416,-0.167874867,0.191736507,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.307115879,-0.155180808,0.633746628,-0.30832143,-0.103037206,-0.04612482,0.045292997,-0.036759898,1
14,-0.342396492,-0.165053972,-0.556700071,-0.046894487,0.87400061,-0.35022811,2.007432811,-0.262533024,-0.323267223,1.024554164,4.168684161,-0.628644267,2.677656312,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,0.595838906,-0.167874867,0.075148519,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.514250655,-0.155180808,-0.32987644,-0.30832143,-0.103037206,-0.097969402,-0.231784519,-0.425975428,1
15,-0.342396492,-0.165053972,2.259961724,-0.046894487,0.591478093,0.927964794,-0.291762175,0.610129435,-0.323267223,0.729868768,-0.296827265,-0.222469704,-0.312021293,-0.174908156,-0.190093744,6.177286496,-0.321100514,-0.347838112,0.871820509,-0.167874867,1.699052638,-0.118158666,0.709004667,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.136969455,-0.155180808,0.107799686,-0.30832143,-0.103037206,-0.101499245,-0.144556412,-0.129116125,1
16,-0.342396492,0.160382316,0.27639708,-0.046894487,1.424176037,-0.35022811,0.781195485,-0.262533024,-0.323267223,1.598415197,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,1.236573245,-0.321100514,-0.347838112,0.021346589,0.656031137,0.383273916,-0.118158666,-0.290177664,0.735890689,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,2.67574331,-0.059829734,-0.180891683,1.015004417,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.281224031,-0.155180808,0.371386149,-0.052100978,-0.103037206,0.01473347,0.014506606,-0.056550518,1
17,-0.342396492,-0.165053972,-0.556700071,-0.046894487,0.933479034,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,0.122727586,-0.167874867,1.682397211,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.514250655,-0.155180808,0.194844518,-0.30832143,-0.103037206,-0.017003608,-0.108638957,-0.290739523,1
18,-0.342396492,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,-0.936140605,-0.167874867,1.082801844,-0.118158666,1.708186997,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.514250655,-0.155180808,2.091441066,1.19646535,-0.103037206,0.953987103,0.219749211,0.293083772,1
19,-0.342396492,-0.165053972,0.534260484,-0.046894487,1.186262338,-0.35022811,0.168076822,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,2.744093592,-0.174908156,0.505307276,-0.30134485,0.512128987,0.348799771,0.838026843,-0.167874867,0.091803945,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.158937369,-0.155180808,0.227946074,-0.30832143,-0.103037206,-0.122016463,-0.247177715,-0.351760602,1
20,-0.342396492,0.32310046,-0.556700071,-0.046894487,1.900003433,0.781885605,-0.291762175,-0.262533024,0.789375809,-0.371324027,-0.296827265,0.102469946,-0.312021293,-0.174908156,4.716346784,0.461559402,0.377010689,5.639482076,0.314225025,-0.167874867,0.916247575,-0.118158666,0.594812401,1.210321654,-0.328778934,-0.299207413,-0.227870045,0.343786923,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,4.3586642,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.502929052,-0.155180808,-0.262447345,1.708906253,-0.103037206,-0.053026925,0.19922495,-0.160451274,1
21,-0.342396492,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,-0.936140605,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,2.182200277,-0.155180808,0.563865566,-0.30832143,-0.103037206,-0.042815591,-0.221522389,-0.429273864,1
22,-0.178654026,-0.110814591,-0.358343606,-0.046894487,0.665826124,-0.167629124,0.09143699,-0.212666598,1.650776867,-0.371324027,0.199340672,-0.083209854,-0.245584012,-0.174908156,-0.190093744,-0.30134485,-0.276061081,-0.103073451,0.241005416,0.028293229,0.633105319,-0.118158666,-0.147437331,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.192429664,-0.087265833,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,0.014068771,-0.14066829,-0.008920721,-0.023380553,-0.12123983,0.034382352,-0.082652401,0.070948322,3.258378359,1
23,-0.342396492,-0.165053972,-0.556700071,-0.046894487,3.907400261,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,3.258874992,-0.321100514,-0.347838112,-0.936140605,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,1.500896822,0.980078805,-0.155180808,0.66194425,-0.30832143,-0.103037206,-0.010542733,-0.206129194,-0.411132462,1
24,-0.342396492,-0.165053972,-0.556700071,-0.046894487,1.260610369,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,0.044445009,-0.312021293,-0.174908156,-0.190093744,1.103367741,-0.321100514,1.836215793,-0.282796402,-0.167874867,0.78300416,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.022305561,-0.155180808,0.487854586,-0.30832143,-0.103037206,-0.127973074,-0.24204665,-0.35340982,1
25,-0.342396492,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,-0.936140605,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,1.125620965,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.210721063,-0.155180808,0.15070911,0.488808864,-0.103037206,0.008650793,-0.154818543,-0.331969982,1
26,-0.178654026,-0.110814591,-0.358343606,-0.046894487,0.665826124,-0.167629124,0.09143699,-0.212666598,1.650776867,-0.371324027,0.199340672,-0.083209854,-0.245584012,-0.174908156,-0.190093744,-0.30134485,-0.276061081,-0.103073451,0.241005416,0.028293229,0.633105319,-0.118158666,-0.147437331,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.192429664,-0.087265833,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,0.014068771,-0.14066829,-0.008920721,-0.023380553,-0.12123983,0.034382352,-0.082778466,0.070948322,3.256729141,1
27,-0.342396492,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,-0.936140605,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,1.125620965,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.210721063,-0.155180808,0.15070911,0.488808864,-0.103037206,0.008650793,-0.154818543,-0.331969982,1
28,-0.342396492,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,3.948975243,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,-0.347838112,0.93940784,-0.167874867,-0.67434569,-0.118158666,-0.290177664,7.310148343,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.514250655,-0.155180808,0.121285505,-0.30832143,-0.103037206,-0.081328709,-0.206129194,-0.389692624,1
29,-0.342396492,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,3.731149053,-0.321100514,-0.347838112,-0.936140605,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.78773937,-0.155180808,0.101669768,-0.30832143,-0.103037206,-0.037552342,-0.211260259,-0.407834026,1
30,-0.342396492,-0.165053972,-0.556700071,-0.046894487,0.502260456,-0.35022811,1.368767537,-0.262533024,-0.323267223,-0.371324027,2.92826432,0.125679921,-0.312021293,-0.174908156,-0.190093744,0.485778584,2.606462596,-0.347838112,-0.203944515,10.07209974,0.408257056,-0.118158666,-0.290177664,1.255505555,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,1.183514747,-0.155180808,-0.218311938,-0.30832143,-0.103037206,-0.078933458,0.070948322,-0.254456719,1
31,3.489177196,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,0.729139272,-0.312021293,-0.174908156,-0.190093744,-0.30134485,2.313706285,-0.347838112,1.046421115,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,0.858740063,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.514250655,-0.155180808,0.756344983,-0.30832143,-0.103037206,-0.101656828,-0.216391324,-0.369902004,1
32,-0.342396492,-0.165053972,5.453500801,-0.046894487,-0.464263943,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,3.367861314,-0.321100514,-0.347838112,-0.936140605,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,0.78773937,-0.155180808,2.259400812,-0.30832143,-0.103037206,-0.04042034,-0.211260259,-0.396289497,1
33,-0.342396492,-0.165053972,-0.556700071,-0.046894487,2.346091617,0.635806416,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,0.311359722,-0.312021293,-0.174908156,-0.190093744,0.025614115,-0.321100514,-0.347838112,1.040788837,-0.167874867,1.574136937,-0.118158666,-0.290177664,0.397011428,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.347803067,-0.155180808,-0.32987644,0.061774778,-0.103037206,-0.11981031,-0.211260259,-0.320425453,1
34,-0.342396492,-0.165053972,-0.556700071,-0.046894487,-0.464263943,-0.35022811,-0.291762175,-0.262533024,-0.323267223,-0.371324027,-0.296827265,-0.628644267,-0.312021293,-0.174908156,-0.190093744,-0.30134485,-0.321100514,8.746110476,1.784249482,-0.167874867,-0.67434569,-0.118158666,-0.290177664,-0.212971241,-0.328778934,-0.299207413,-0.227870045,-0.231804961,-0.16671333,-0.22521504,-0.16052186,-0.143196457,-0.174901247,-0.145199366,-0.198045864,-0.242103908,-0.323420461,-0.059829734,-0.180891683,-0.185283711,-0.120891545,-0.172581204,-0.205970727,-0.127329481,-0.297743847,-0.197366029,-0.071380146,-0.111534108,-0.158436141,-0.514250655,-0.155180808,-0.32987644,0.919909942,-0.103037206,-0.110040207,-0.24204665,-0.439169174,1
